,TCS.NS_Open,TCS.NS_Close,TCS.NS_Volume,INFY.NS_Open,INFY.NS_Close,INFY.NS_Volume,HCLTECH.NS_Open,HCLTECH.NS_Close,HCLTECH.NS_Volume,WIPRO.NS_Open,WIPRO.NS_Close,WIPRO.NS_Volume,LTIM.NS_Open,LTIM.NS_Close,LTIM.NS_Volume,TECHM.NS_Open,TECHM.NS_Close,TECHM.NS_Volume,TCS.NS_SO_K,TCS.NS_SO_D,TCS.NS_SO_B/S_Decision,INFY.NS_SO_K,INFY.NS_SO_D,INFY.NS_SO_B/S_Decision,HCLTECH.NS_SO_K,HCLTECH.NS_SO_D,HCLTECH.NS_SO_B/S_Decision,WIPRO.NS_SO_K,WIPRO.NS_SO_D,WIPRO.NS_SO_B/S_Decision,LTIM.NS_SO_K,LTIM.NS_SO_D,LTIM.NS_SO_B/S_Decision,TECHM.NS_SO_K,TECHM.NS_SO_D,TECHM.NS_SO_B/S_Decision,TCS.NS_MACD,TCS.NS_signal_MACD,TCS.NS_signal_MACD_diff,TCS.NS_MACD_B/S_Decision,INFY.NS_MACD,INFY.NS_signal_MACD,INFY.NS_signal_MACD_diff,INFY.NS_MACD_B/S_Decision,HCLTECH.NS_MACD,HCLTECH.NS_signal_MACD,HCLTECH.NS_signal_MACD_diff,HCLTECH.NS_MACD_B/S_Decision,WIPRO.NS_MACD,WIPRO.NS_signal_MACD,WIPRO.NS_signal_MACD_diff,WIPRO.NS_MACD_B/S_Decision,LTIM.NS_MACD,LTIM.NS_signal_MACD,LTIM.NS_signal_MACD_diff,LTIM.NS_MACD_B/S_Decision,TECHM.NS_MACD,TECHM.NS_signal_MACD,TECHM.NS_signal_MACD_diff,TECHM.NS_MACD_B/S_Decision,TCS.NS_RSI,TCS.NS_RSI_B/S_Decision,INFY.NS_RSI,INFY.NS_RSI_B/S_Decision,HCLTECH.NS_RSI,HCLTECH.NS_RSI_B/S_Decision,WIPRO.NS_RSI,WIPRO.NS_RSI_B/S_Decision,LTIM.NS_RSI,LTIM.NS_RSI_B/S_Decision,TECHM.NS_RSI,TECHM.NS_RSI_B/S_Decision,TCS.NS_Final_BorS_Decision,INFY.NS_Final_BorS_Decision,HCLTECH.NS_Final_BorS_Decision,WIPRO.NS_Final_BorS_Decision,LTIM.NS_Final_BorS_Decision,TECHM.NS_Final_BorS_Decision,Cash Balance,TCS.NS_owned_shares,INFY.NS_owned_shares,HCLTECH.NS_owned_shares,WIPRO.NS_owned_shares,LTIM.NS_owned_shares,TECHM.NS_owned_shares,Portfolio Value,NS Portfolio Value,Nifty50,Nifty50_Value,Strategy_Portfolio_DReturns,NS_Portfolio_DReturns,Nifty50_DReturns
2023-01-02,3166.9292396027545,3167.3662109375,709547,1450.054805565381,1459.6324462890625,3801140,959.9334020947377,960.2567138671875,701880,391.20008855959975,391.2498474121094,2779756,4223.582591296945,4181.689453125,268574,954.8968262569246,947.0167236328125,1348611,26.535757602982795,,NA,18.857305723924977,,NA,11.562650628596707,,NA,44.380311032811996,,NA,7.836595555631498,,NA,13.221142717723824,,NA,-42.66229839966945,-47.59077657495016,4.928478175280709,NA,-29.459310449324676,-31.75062921969428,2.291318770369603,NA,-18.15127247467069,-20.810836116524,2.6595636418533104,NA,-5.0727570581621535,-5.994355894247113,0.9215988360849598,NA,-95.85694553445319,-105.72521621526548,9.868270680812287,NA,-18.83176605963388,-19.3984584580173,0.5666923983834202,NA,40.3285808185613,NA,36.16779156985323,NA,46.96699048692124,NA,44.2961150599469,NA,50.245061380397395,NA,37.944785130057475,NA,NA,NA,NA,NA,NA,NA,0.0,53,115,174,426,39,175,998299.0590209961,998299.0590209961,18197.44921875,1000859.70703125,,,
2023-01-03,3158.1888910433972,3215.826904296875,1245178,1455.657741200302,1458.2437744140625,4551130,959.841148228776,962.0120849609375,2484372,391.24985648224623,395.2315368652344,2997211,4193.203106210479,4207.86083984375,191007,950.3001206812544,960.431640625,1439615,59.62915215185013,,NA,20.68268682997566,,NA,14.82091069643405,,NA,57.566701600401736,,NA,15.045540455073613,,NA,30.14506656896273,,NA,-36.304293443278766,-45.33347994861589,9.029186505337123,NA,-27.378034915850776,-30.87611035892558,3.4980754430748036,NA,-16.910919039342616,-20.030852701087724,3.119933661745108,NA,-4.1917931976751674,-5.633843354932725,1.4420501572575573,NA,-91.43343717377866,-102.86686040696812,11.433423233189458,NA,-17.107386315089457,-18.94024402943173,1.8328577143422748,NA,42.9301443507442,NA,33.10552075576608,NA,40.35092690139067,NA,46.5035192420248,NA,43.96665377441672,NA,35.78804126370315,NA,NA,NA,NA,NA,NA,NA,0.0,53,115,174,426,39,175,1006077.7073364258,1006077.7073364258,18232.55078125,1002790.29296875,0.007791901880642937,0.007791901880642937,0.00192892762485819
2023-01-04,3211.3108768950297,3219.031494140625,1231668,1456.759143227801,1431.665771484375,7059590,957.2543538570015,957.6239013671875,1219170,395.679486737736,387.91522216796875,4463261,4170.949757808311,4138.9736328125,428917,960.4316822277705,957.1483154296875,1702044,63.06367952421985,39.33131249343322,NA,0.0,12.020481132234373,Buy,11.607207565550521,12.895251609891933,Buy,42.05936203522086,44.75958857132666,NA,2.707432374121415,12.242131583732101,Buy,29.82991355355371,21.04258811792722,Buy,-30.653589590271167,-42.39750187694695,11.74391228667578,NA,-27.555588108621578,-30.212005908864782,2.6564178002432044,NA,-16.096469665417885,-19.24397609395376,3.1475064285358734,NA,-4.0374472634837275,-5.314564136642925,1.2771168731591978,NA,-92.42102477775097,-100.77769328112468,8.356668503373712,NA,-15.823338253718134,-18.316862874289015,2.4935246205708808,NA,51.469392523183735,NA,35.45514875775592,NA,45.76271186440678,NA,43.94271409788817,NA,46.38719414251909,NA,48.84926273970509,NA,NA,Buy,Buy,NA,Buy,Buy,0.0,53,115,174,426,39,175,996049.6032714844,996049.6032714844,18042.94921875,992362.20703125,-0.009967524368958203,-0.009967524368958203,-0.010399069487028845
2023-01-05,3234.132859750959,3215.583984375,1826057,1442.2969827298232,1412.8935546875,9868404,962.4277285066597,964.5524291992188,2294943,388.21382955068646,385.1280212402344,4784490,4150.631999944985,4121.80029296875,218691,957.8048862995882,949.0336303710938,1376035,66.77899513995902,47.811365199969735,NA,0.0,9.464226352728891,Buy,22.477958444230726,14.27792101107406,Buy,35.508581892818135,44.59363386892596,NA,0.0,7.9069357507191524,Buy,20.280547252203732,22.165924826681163,Buy,-26.152086329585472,-39.14841876747465,12.99633243788918,NA,-28.878171715145754,-29.945239070120977,1.0670673549752223,NA,-14.722229677418227,-18.339626810646653,3.617397133228426,NA,-4.092850981489391,-5.070221505612219,0.9773705241228274,NA,-93.51149773389443,-99.32445417167864,5.812956437784209,NA,-15.284320053571946,-17.7103543101456,2.4260342565736543,NA,63.436387976704005,NA,35.16416051393297,NA,61.5322557682634,NA,46.66663319984854,NA,44.930428583043884,NA,45.95671104200784,NA,NA,Buy,Buy,NA,Buy,Buy,0.0,53,115,174,426,39,175,991636.4664306641,991636.4664306641,17992.150390625,989568.271484375,-0.004430639625100596,-0.004430639625100596,-0.0028154392892826285
2023-01-06,3204.804428656364,3118.906005859375,2488376,1407.9130931850298,1387.3211669921875,6443714,964.4600561324846,954.1134033203125,1887689,385.22758891320353,380.25048828125,4242377,4111.9309943309545,4061.2333984375,264197,947.0166595057201,925.1119384765625,2346808,5.817886243944192,44.365094132591196,NA,0.0,7.907998510780128,Buy,18.467063387009517,15.787158144364303,Buy,19.419686849885032,39.786928682227554,NA,0.0,5.117913676965305,Buy,0.0,18.695334018488797,Buy,-30.03944147611128,-37.32662330920198,7.287181833090699,NA,-31.62525051971079,-30.28124136003894,-1.3440091596718489,Sell,-14.310514034112884,-17.5338042553399,3.223290221227014,NA,-4.478707224729192,-4.951918649435614,0.4732114247064221,NA,-98.1317459358288,-99.08591252450867,0.9541665886798683,NA,-16.596115175487512,-17.487506483213984,0.8913913077264723,NA,51.461629140998944,NA,32.71661639652548,NA,49.68022043659067,NA,42.49201716065587,NA,38.74451764351504,NA,34.72694702637531,NA,NA,Buy,Buy,NA,Buy,Buy,0.0,53,115,174,426,39,175,973129.0844726562,973129.0844726562,17859.44921875,982269.70703125,-0.018663474553960335,-0.018663474553960335,-0.007375503705446151
2023-01-09,3135.852410649251,3224.1787109375,2885060,1387.0337414623082,1421.752685546875,11498717,965.337755442028,986.12353515625,4562242,384.2321602629341,390.0055847167969,3673716,4092.727178381497,4155.71240234375,388187,936.1816272506005,952.4108276367188,2190779,72.19847194276944,53.49763700054852,NA,27.463601816087547,9.629257729212641,Buy,100.0,33.474628018644964,NA,63.16968684988503,43.54480384564216,NA,39.768369129585864,11.50426839175618,Buy,36.85883436866993,23.42287234867802,Buy,-24.344937650478187,-34.730286177457224,10.385348526979037,NA,-30.670444678244394,-30.359082023680035,-0.3113626545643591,NA,-11.271347226558305,-16.281312849583582,5.009965623025277,NA,-3.9517925175973687,-4.751893423067965,0.8001009054705959,NA,-93.09650138430061,-97.88803029646706,4.791528912166456,NA,-15.257056204947503,-17.041416427560687,1.7843602226131843,NA,59.70621455866365,NA,44.45783996597126,NA,68.60536223304594,NA,52.51544672240493,NA,46.128568518532575,NA,49.118218886719205,NA,NA,Buy,NA,NA,Buy,Buy,0.0,53,115,174,426,39,175,1000855.5832519531,1000855.5832519531,18101.19921875,995565.95703125,0.02849210780121947,0.02849210780121947,0.013536251708490266
2023-01-10,3190.2366724428193,3191.59619140625,3864655,1419.4063156135717,1407.6737060546875,7158624,980.1648260212581,982.7976684570312,2297082,390.204668486929,391.2498474121094,3939748,4156.437156868367,4094.12939453125,225477,950.3001206275995,940.5907592773438,1411099,51.653291419264356,51.90246485403137,NA,16.233789627113957,8.739478288640301,Buy,90.47576599723838,48.60559907880583,NA,68.75,45.78146352556181,NA,13.846675572911316,11.264495415323719,Buy,20.89943252896278,21.57374554067803,Buy,-22.205171964506462,-32.22526333486707,10.02009137036061,NA,-30.69596616162039,-30.42645885126811,-0.2695073103522816,NA,-9.027096533095005,-14.830469586285867,5.803373053190862,NA,-3.3946755090491934,-4.48044984026421,1.085774331215017,NA,-93.00318503541803,-96.91106124425727,3.907876208839241,NA,-14.976977778577748,-16.6285286977641,1.6515509191863522,NA,52.22869038269705,NA,40.89662703722556,NA,62.44705391612052,NA,53.09501853648627,NA,38.88029558630502,NA,42.5761642142444,NA,NA,Buy,NA,NA,Buy,Buy,0.0,53,115,174,426,39,175,992990.7329101562,992990.7329101562,17914.150390625,985278.271484375,-0.00785812705989275,-0.00785812705989275,-0.010333504750958511
2023-01-11,3195.1894311883702,3232.67578125,2720512,1407.913024539348,1409.1102294921875,6173092,987.555407223905,974.4373168945312,3594167,391.20009047181327,392.04620361328125,3828300,4114.640955201861,4088.22802734375,243019,946.0316997396736,944.0616455078125,1294200,77.55637077940771,54.80100310506894,NA,17.37960338564208,12.215398965768717,Buy,66.53435408036636,59.591028381769,NA,72.32152633307784,51.83389638513321,NA,11.362655431096496,12.995540026718734,Buy,25.585807125774856,20.724924255122257,Buy,-16.998662656457327,-29.179943199185125,12.181280542727798,NA,-30.251555583363825,-30.391478197687253,0.139922614323428,Buy,-7.832830199520117,-13.430941708932718,5.5981115094126,NA,-2.8559750730954647,-4.155554886830461,1.2995798137349963,NA,-92.34097291338367,-95.99704357808255,3.6560706646988876,NA,-14.30998549134381,-16.164820056480043,1.8548345651362332,NA,57.95106457804772,NA,37.764913754150214,NA,57.68109646001051,NA,54.4425311360672,NA,40.74532659782183,NA,46.856387724380724,NA,NA,Buy,NA,NA,Buy,Buy,0.0,53,115,174,426,39,175,994594.9497070312,994594.9497070312,17895.69921875,984263.45703125,0.001615540552099226,0.001615540552099226,-0.0010299775022909463
2023-01-12,3232.9675679249594,3238.163330078125,2250391,1419.3585099542859,1418.0655517578125,6591385,980.1649158322566,990.0035400390625,4748542,393.9374818403005,392.6932067871094,4755250,4116.769607498897,4137.232421875,252469,947.4857732414875,939.5587768554688,1948321,100.0,61.44520407707714,NA,34.89144996141767,19.193688958052253,Buy,100.0,75.09543669292285,Sell,86.8556086013145,62.10330172683248,NA,34.657314629258515,19.92700295257044,Buy,37.97791893769585,24.26439859222068,Buy,-12.288018560939236,-25.80155827153595,13.513539710596714,NA,-28.84423890304606,-30.082030338759015,1.2377914357129534,NA,-5.566138431491481,-11.85798105344447,6.2918426219529895,NA,-2.3497568137027542,-3.7943952722049197,1.4446384585021654,NA,-86.86064450287631,-94.1697637630413,7.309119260164991,NA,-13.98353962613271,-15.728563970410576,1.7450243442778657,NA,62.98381534216879,NA,45.7031392617149,NA,68.56627864030207,NA,67.94461832208117,NA,50.62719925297937,NA,52.13548271802909,NA,NA,Buy,Sell,NA,Buy,Buy,0.0,53,115,174,426,39,175,1000022.9674072266,1000022.9674072266,17858.19921875,982200.95703125,0.005457515847827388,0.005457515847827388,-0.00209547554088918
2023-01-13,3246.4664859846807,3277.20361328125,1742837,1420.8429983728558,1440.1419677734375,11610426,964.3677954040282,995.68505859375,8253765,394.1863354229753,392.095947265625,6810930,4135.054463809949,4148.16455078125,437340,942.2792780774155,941.0597534179688,2837817,100.0,80.2816268282883,Sell,73.04641999817683,33.80297295768762,NA,100.0,91.40202401552095,Sell,83.7627827373192,74.97192090431932,NA,39.64261857047428,27.8555266666653,NA,41.923693419484025,32.649137276117486,NA,-5.342984001968034,-21.709843417622366,16.366859415654332,NA,-25.651849469607214,-29.195994164928656,3.5441446953214424,NA,-3.273581994268966,-10.14110124160937,6.867519247340404,NA,-1.9740138450809468,-3.4303189867801254,1.4563051416991786,NA,-80.70499635394208,-91.47681028122146,10.771813927279382,NA,-13.44868459710824,-15.272588095750109,1.8239034986418687,NA,64.35057143687504,NA,50.297987973535946,NA,69.93950935364624,NA,64.98882045513778,NA,45.57039417247045,NA,50.813486456334246,NA,Sell,NA,Sell,NA,NA,NA,-1098.12043614727,53,154,0,426,53,234,1001469.1111312355,1006054.0658569336,17956.599609375,987612.978515625,0.0014461105105998406,0.006030959934194335,0.005510095918388247
